title,abstract,year,venue,journal,authors,doi,url,referenceCount,citationCount,influentialCitationCount,fieldsOfStudy,s2FieldsOfStudy,isOpenAccess,openAccessPdf,publicationTypes,publicationDate,on_risk,on_rural
Poverty Reduction and Insurance-Based Risk Protection,"This study aims to evaluate the effectiveness of poverty reduction and insurance-based risk protection programs in a particular region, another purpose is to analyze the impact of Insurance on systematic risk protection and poverty reduction with a critical analysis approach. The method used involves a survey of a sample of program beneficiary communities as well as primary and secondary data analysis. Data were collected through interviews, observations, and documentation to identify the program's impact on poverty levels and household economic sustainability. The results showed that the program succeeded in increasing people's access to health services and education, as well as reducing financial risks faced by vulnerable households. In addition, this program also contributes positively to local economic growth and financial independence of beneficiary communities. The implications of these findings provide support for government policies to improve the effectiveness of social protection programs and expand health insurance coverage for vulnerable communities to address poverty and economic risks. The research recommends intensive education programs, stakeholder cooperation, and regulatory updates. The implications of this research highlight the need for increased public understanding, regulatory updates, and innovative product development to support the sustainable growth of Insurance.",2024.0,Solo International Collaboration and Publication of Social Sciences and Humanities,Solo International Collaboration and Publication of Social Sciences and Humanities,"Aisyah Abdul Jabbar, M. Achour, Edwards Geraldine, Muhammad Iqbal, Kaleem Chaghtai, Arjun Nath, Camila Garcia, Muthoifin, Ishmah Afiyah",10.61455/sicopus.v1i03.102,https://www.semanticscholar.org/paper/d5f5dcd49a7a16955f7736f35928baf47434e4cf,55.0,9.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]",False,,"['JournalArticle', 'Review']",2024-03-04,True,True
The effect of weather index insurance on social capital: Evidence from rural Ethiopia,"We study the effect of weather index insurance (WII) uptake on social capital. We measure individual social capital using experimental and survey‐based measures and relate it to the actual purchase of WII. We use propensity score matching (PSM) and an instrumental variable (IV) to address endogeneity concerns. Our descriptive and PSM estimates show that WII uptake negatively and significantly affects social capital. We find that insured households contribute less to the public good than uninsured households. We also find qualitatively and quantitatively similar results using our IV approach, yet insufficient power renders most of our IV estimates insignificant. We however report robust significant effects of instrumented WII uptake on sociopsychological outcomes—WII uptake increases perceptions of self‐sufficiency and free‐riding behavior: these are potential channels through which a negative effect on social capital comes about. Although far from conclusive, our paper provides several pieces of evidence that suggest WII uptake negatively affects social capital.",2023.0,Journal of Risk and Insurance,Journal of Risk and Insurance,"H. Y. Nigus, Eleonora Nillesen, Pierre Mohnen",10.1111/jori.12454,https://www.semanticscholar.org/paper/f4ae710f99f363c0138c190dfc28dd9f228c3418,64.0,2.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jori.12454,"['JournalArticle', 'Review']",2023-12-08,True,True
Vulnerability to seasonal food insecurity as an exposure to risk: the case of the Southern Province of Zambia,"Background Seasonality is an important aspect of food security for subsistence households in developing countries. Among the multidimensional aspects of food security, this paper focuses on how unexpected negative harvest shocks would affect the seasonal food consumption of households. This is particularly important because, with the increasing threat of climate change, the frequency of extreme weather events such as droughts and floods is expected to increase; this would adversely affect crop yields. Methods Given seasonal price changes of staple foods, some households buy them when prices are low and store them for the hunger season (not buy high (NBH) households), while others run out of staple foods before the next harvest and therefore buy them when prices are high (buy high (BH) households). Using three years of weekly household panel data for the Choma and Sinazongwe Districts of the southern province of Zambia, we assess the ability of seasonal consumption smoothing separately for NBH and BH households. Results NBH households successfully smooth their consumption over the 12 months of the crop year. In contrast, BH households, especially for households with few assets, reduce total consumption in response to harvest shocks, just after the harvest and during the “hunger season” just before the next harvest. However, in spite of this, the consumption of staple foods is generally insensitive to harvest shocks. Instead, they reduce consumption only of non-staple food items, such as vegetables and meats. Conclusions Seasonal food insecurity is exacerbated by negative harvest shocks. We emphasize the significance of policies aimed at increasing public awareness of healthier food choices, empowering households to avoid purchasing maize at high prices, and reducing seasonal price disparities.",2023.0,Agriculture & Food Security,Agriculture & Food Security,"Akinori Kitsuki, Takeshi Sakurai",10.1186/s40066-023-00442-4,https://www.semanticscholar.org/paper/7ba61891671b95598858d21b06b2431bd80fb84f,69.0,2.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",True,https://agricultureandfoodsecurity.biomedcentral.com/counter/pdf/10.1186/s40066-023-00442-4,['JournalArticle'],2023-10-24,True,True
Quantifying Vulnerability to Poverty in Rural Manipur: A Study of Agricultural Households from NSSO 70th Round Data,"Poverty is a stochastic phenomenon as the economic status of a household can change in the face of shocks and in the absence of resources to mitigate the effect of shocks. Thus, a static measure of poverty may not be very reliable for policy formulation. This article attempts to analyse the level of vulnerability to poverty across rural agricultural households by using 3 stage feasible generalized least square (3S FGLS) method and examines the determinants of households’ vulnerability to poverty by logistic regression. In addition, a concerted effort is made to explore the similarities and differences between the determinants of vulnerability and those of poverty. The study used NSSO 70th round (2012–2013) Situation Assessment Survey of Agricultural Households data. The analysis reveals most of the determinants of poverty and vulnerability to be similar although it differs in strength on the impacts and significance level. The FGLS estimates show that the vulnerability of household level is much higher at 50.07% as compared to poverty rate, which is at 43.52% in the study area. Education of the household head, diversification of economic activities and social safety nets are found to be very significant in reducing vulnerability of a household. The safety nets are found to be not significant in reducing poverty. Nonetheless, they are effective in anchoring the vulnerable households against falling into poverty in the study area.",2023.0,Millennial Asia,Millennial Asia,"S. Solomon, Utpal Kumar De",10.1177/09763996231165911,https://www.semanticscholar.org/paper/ab02c184c77502dc763cc0e4cdf7c2a160afbadb,19.0,0.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,"['JournalArticle', 'Review']",2023-06-20,True,True
Supply-side factors and uptake of insurance products among Ghanaian households,"Abstract This study examines the influence of supply-side factors on uptake of insurance, as well the moderating effect of sales agent effectiveness on the interactions. A survey research design was adopted following a quantitative approach. The target population of this study comprised Ghanaian households of income earning groups (earning less than US$190; earning between US$191 and US$1,000; as well as earning US$1,000). Using a cross-sectional survey, a structured questionnaire was administered to 520 households that participated in the survey following a convenience sampling technique in line with the ethical considerations in social science research. The formulated hypotheses were tested using hierarchical regression analyses for the direct and moderating relationships. The results show that three supply-side factors influencing insurance uptake are insurance product design, customer service, and market positioning. The relationships between insurance product design, customer service, market positioning, and insurance uptake become stronger with higher levels of sales agent effectiveness. The implications for practice point to the need for a concerted effort on development of insurance products across the income brackets, offering insurance product cost suitable for each income group and providing adequate awareness to enhance uptake of insurance products.",2023.0,Cogent Business &amp; Management,Cogent Business & Management,"Justice Ofori, F. Boateng, Sulaiman Olusegun Atiku",10.1080/23311975.2023.2217641,https://www.semanticscholar.org/paper/d2f8b0448b88faf97eada61ad718a47d0d779aab,79.0,3.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Business', 'source': 's2-fos-model'}]",True,https://www.tandfonline.com/doi/pdf/10.1080/23311975.2023.2217641?needAccess=true&role=button,"['JournalArticle', 'Review']",2023-06-14,True,True
Is Mobile Money Changing Rural Africa? Evidence from a Field Experiment,"
 Rural areas in Sub-Saharan Africa are typically underserved by financial services. Mobile money brings a substantial reduction in the transaction costs of remittances. We follow the introduction of mobile money for the first time in rural villages of Mozambique using a randomized field experiment. We find that mobile money increased migration out of these villages, where we observe lower agricultural activity and investment. At the same time, remittances received and welfare of rural households increased, particularly when facing geo-referenced village-level floods and household-level idiosyncratic shocks. Our work suggests that mobile money can accelerate urbanization and structural change in Sub-Saharan Africa.",2023.0,Social Science Research Network,SSRN Electronic Journal,"Catia Batista, Pedro C. Vicente",10.2139/ssrn.4436702,https://www.semanticscholar.org/paper/d95437d3d807def6ccb34d3fec2490bfe35e1110,68.0,30.0,2.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://novafrica.org/wp-content/uploads/2020/01/1805.pdf,['JournalArticle'],2023-05-29,True,True
Propagation and Insurance in Village Networks,"In village economies, small firm owners facing idiosyncratic shocks adjust production by cutting spending and reducing employment. Households with whom they trade inputs and labor scale back their own businesses and reduce consumption. As effects reverberate through local economies, the aggregate indirect adverse effects are larger than the direct effects. Propagation is more severe when transmitted through labor networks as opposed to material supply-chain networks, and goes beyond input-output/sectoral considerations as it varies with network position, closeness to a shocked household, and network density. Participation in gift-giving insurance networks mitigates direct and hence indirect effects. Supply chain and labor networks are fragile as the broken links are not easily replaced, leading to persistent damage. Social gains from better-targeted safety nets are substantially higher than private gains.",2022.0,The American Economic Review,American Economic Review,"Cynthia Kinnan, Krislert Samphantharak, R. Townsend, Diego A. Vera-Cossio",10.18235/0004385,https://www.semanticscholar.org/paper/970aca1176d13a759fd6147fbe461848bdd79d6a,82.0,5.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2022-07-27,True,True
Banking on Transparency for the Poor: Experimental Evidence from India,"Do information frictions limit the benefits of financial inclusion drives for the rural poor? We evaluate an experimental intervention among poor Indian women receiving digital cash transfers. Treated women got automated voice calls detailing transactions posted to their accounts. Treatment increased knowledge of account balances and trust in local banking agents. Indicative of improved consumption-smoothing, administrative data show that treated women accessed transfers faster, with impacts dissipating once notifications were discontinued. Consistent with account information benefiting those with high transaction costs more, the intervention increased account use among women who lived more than an hour from the kiosk.",2022.0,Social Science Research Network,SSRN Electronic Journal,"Erica M. Field, Natalia Rigol, C. Moore, Rohini Pande, Simone Schaner",10.3386/w30289,https://www.semanticscholar.org/paper/b259e7fbfffed50a078476e67d17571038ec9714,36.0,0.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.3386/w30289,,2022-07-01,True,True
Risk Pooling and Precautionary Saving in Village Economies,"We propose a new method to test for eﬃcient risk pooling that allows for intertemporal smoothing, non-homothetic consumption, and heterogeneous risk and time preferences. The method is composed of three steps. The ﬁrst one allows for precautionary savings by the aggregate risk pooling group. The second utilizes the inverse Engel curve to estimate good-speciﬁc tests for eﬃcient risk pooling. In the third step, we obtain consistent estimates of households’ risk and time preferences using a full risk sharing model, and incorporate heterogeneous preferences in testing for risk pooling. We apply this method to panel data from Indian villages to generate a number of new insights. We ﬁnd that food expenditures are better protected from aggregate shocks than non-food consumption, after accounting for non-homotheticity. Village-level consumption tracks aggregate village cash-in-hand, suggesting some form of coordinated precautionary savings. But there is considerable excess sensitivity to aggregate income, indicating a lack of full asset integration. We also ﬁnd a large unexplained gap between the variation in measured consumption expenditures and cash-in-hand at the aggregate village level. Contrary to earlier ﬁndings, risk pooling in Indian villages no longer appears to take place more at the sub-caste level than at the village level.",2022.0,Social Science Research Network,SSRN Electronic Journal,"M. Fafchamps, Aditya Shrinivas",10.3386/w30128,https://www.semanticscholar.org/paper/569d5ca4698e6cb7096d42b50d5a0ad38b2682b6,64.0,1.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}]",True,https://escholarship.org/content/qt10b5d7mb/qt10b5d7mb.pdf?t=rfsb6v,,2022-06-01,True,True
Coping with the consequences of short-term illness shocks: The role of intra-household labor substitution.,"In developing countries where medical infrastructure, service delivery systems, and the markets for health insurance are underdeveloped, one important mechanism to cope with the consequences of health shocks is the intra-household substitution of labor. This paper studies the impact of short-term illness shocks on labor supply and wage earnings of prime-aged individuals using data from agricultural households in India. It also documents the compensating intra-household labor supply responses of other non-ill members of the household. We find that an illness shock reduces an individual's monthly wage earnings by 7.1% via the decline in the individual's days of employment in the labor market. Further, an illness shock to the household head causes a compensating increase in the wage labor supply of the wife. An illness shock to the wife, however, induces the household head to devote more time to domestic activities. The compensating labor supply responses are only partially able to insure the loss in total wage income of the household. Our results indicate that the gender-based specialization of labor weakens in the event of an illness shock.",2022.0,Health Economics,Health economics,"Abhishek Dureja, D. Negi",10.1002/hec.4514,https://www.semanticscholar.org/paper/f1bc99f1b9b380b648853710ffb3b3a3dfc3fbe3,47.0,4.0,0.0,"['Economics', 'Medicine']","[{'category': 'Economics', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2022-04-10,True,True
Unemployment and Household Spending in Rural and Urban India: Evidence from Panel Data,"Abstract India has seen high levels of unemployment in recent years. Understanding how an episode of job loss affects household consumption expenditure is important for designing effective safety net programs. We apply difference-in-difference and quantile regressions to a high-frequency panel data from a nationally representative survey of 1,75,000 households in 2019 to estimate the impact of a job loss on household consumption expenditure – for urban and rural households, and households across different expenditure levels. We find that the loss of employment of an earning member leads to a significant immediate decline in household consumption expenditure. The decline is larger for urban households and households in the lowest and the highest income deciles. Durable and discretionary expenses go down the most. Expenditure on health and education also goes down significantly, especially, in urban areas. Our findings highlight the high vulnerability of urban households to economic shocks and can inform the design and targeting of income support and other safety-net programmes in India and other developing countries.",2022.0,,The Journal of Development Studies,"Manavi Gupta, A. Kishore",10.1080/00220388.2021.1983171,https://www.semanticscholar.org/paper/d3b756ed4366a911db4630ca921a2feb04850588,32.0,12.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://figshare.com/articles/journal_contribution/Unemployment_and_Household_Spending_in_Rural_and_Urban_India_Evidence_from_Panel_Data/16836595/1/files/31135507.pdf,['Review'],2022-03-04,True,True
A behavioral decomposition of willingness to pay for health insurance,"Despite widespread exposure to substantial medical expenditure risk in low-income populations, health insurance enrollment is typically low. This is puzzling from the perspective of expected utility theory. To help explain it, this paper introduces a decomposition of the stated willingness to pay (WTP) for insurance into its fair price and three behavioral deviations from that price due to risk perception and risk attitude consistent with prospect theory, plus a residual. To apply this approach, we elicit WTP, subjective distributions of medical expenditures and risk attitude (utility curvature and probability weighting) from Filipino households in a nationwide survey. We find that the mean stated WTP of the uninsured is less than both the actuarially fair price and the subsidized price at which public insurance is offered. This is not explained by downwardly biased beliefs: both the mean and the median subjective expectation are greater than the subsidized price. Convex utility in the domain of losses pushes mean WTP below the fair price and the subsidized price, and the transformation of probabilities into decision weights depresses the mean further, at least using one of two specific decompositions. WTP is reduced further by factors other than risk perception and attitude.",2022.0,Journal of Risk and Uncertainty,Journal of Risk and Uncertainty,"A. Baillon, Aleli D. Kraft, O. O’Donnell, K. van Wilgenburg",10.1007/s11166-022-09371-2,https://www.semanticscholar.org/paper/0e6909e52b6eaa248b63e5a13c17cfd85b13bc73,79.0,6.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]",True,https://link.springer.com/content/pdf/10.1007/s11166-022-09371-2.pdf,['Review'],2022-02-01,True,True
