title,abstract,year,venue,journal,authors,doi,url,referenceCount,citationCount,influentialCitationCount,fieldsOfStudy,s2FieldsOfStudy,isOpenAccess,openAccessPdf,publicationTypes,publicationDate,on_learning,on_rural,benchmark_comparison,distributional_effects,evidence_strength,mechanism_success,policy_implication,long_term_effects,narrative_tone
"Suburban agriculture, immigrant farmers, and access to agricultural services and resources","While agricultural services are shrinking, the num­ber of nontraditional farms run by immigrant farm­ers is rising in U.S. suburban regions. This study attempts to understand Chinese immigrant farmers’ experience accessing agricultural services and resources in the New York metropolitan area and explores the need for changes in agricultural ser­vices to meet changing demand. Thirteen Chinese immigrant farmers in the region were recruited to participate in a semi-structured interview to under­stand their shared experiences of accessing agricul­tural services and resources. The study identified diverse ways of accessing agricultural services and resources in four critical areas of farming opera­tions: agricultural technology, financial services, farm labor, and farming machinery; and also revealed the existence of “liability of newness” among those new immigrant farmers in operating farms. Most participants felt that they were iso­lated, with limited access to available services as new immigrant farmers, which constitutes the lia­bilities to their success in farming. Language barri­ers, cultural differences, distrust, and isolation were the main obstacles to access adequate services and resources. As farms and farmers are becoming more diverse in U.S. suburban regions, the provi­sion of agricultural services needs to adapt accord­ingly to meet the growing needs of groups of farm­ers with varying farming experiences and demographic backgrounds and help them to over­come the liabilities as new immigrant farmers. This study contributes to understanding the farming experiences of minority farm groups, which help develop more inclusive agricultural services.",2023.0,"Journal of Agriculture, Food Systems, and Community Development","Journal of Agriculture, Food Systems, and Community Development","Linfu Xie, Z. Qiu, Mei Fu",10.5304/jafscd.2023.122.001,https://www.semanticscholar.org/paper/d968dbee28d70fc2d761ffe03a7d6ff378c5b409,36.0,1.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://www.foodsystemsjournal.org/index.php/fsj/article/download/1128/1097,,2023-01-28,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk not effectively mitigated,suggests effective intervention,sustained over time,neutral
Farmers’ social networks and regional spillover effects in agricultural climate change mitigation,"Climate change poses a severe threat to global agricultural production and rural livelihoods, and since agriculture itself is a significant source of greenhouse gas (GHG) emissions, it can also play an important role in climate change mitigation. This article investigates how farmers’ social networks influence the adoption of on-farm mitigation strategies. More precisely, we use a network autocorrelation model to explore the relationship between a farmer’s own mitigation behavior and the mitigation behavior and knowledge of his fellow farmers. The analysis is based on a regional case study in Switzerland and uses data obtained from personal network interviews combined with survey and census data of 50 farmers. Half of them are members of a local collective action initiative for agricultural climate change mitigation, while the others do not participate in the initiative. We find that, on average, farmers with a larger network adopt more mitigation measures, and furthermore, mitigation adoption is linked with the level of knowledge within farmers’ networks. Indeed, the likelihood that non-members will adopt mitigation measures increases if they are closely associated with members of the collective action, suggesting a local spillover effect. It follows that strengthening knowledge exchange among farmers and supporting local farmers’ initiatives can potentially contribute to the diffusion of agricultural climate change mitigation practices.",2023.0,Climatic Change,Climatic Change,"Cordelia Kreft, Mario Angst, R. Huber, R. Finger",10.1007/s10584-023-03484-6,https://www.semanticscholar.org/paper/7189c9cc92e452aabb3ae24fa50ff029896dc738,73.0,23.0,0.0,,"[{'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://link.springer.com/content/pdf/10.1007/s10584-023-03484-6.pdf,['Review'],2023-01-21,True,True,matches theoretical benchmark,benefits richest,strong evidence,risk mitigated through networks,suggests effective intervention,sustained over time,neutral
Learning about Our Vices from Devices: A Model of Individual Learning with an Application to Consumer Food Waste,"The proliferation of personal, household and workplace sensors and devices has created individual environments rich with purposeful and incidental feedback capable of altering behavior. We formulate an empirical learning model suitable for understanding individual behavioral responses in such environments. We estimate this model using data collected about the joint personal decisions of food selection, intake, and waste during a study in which users photographed their meal selections and plate waste over the course of a week with a cell phone. Despite neutral recruitment language and no expectation that participants would alter food intake in response to the assessment procedures, we found a substantial learning-by-doing effect in plate waste reduction as those who document greater plate waste in their captured photographs waste less on subsequent days. Further we identified that participants reduced plate waste by learning to eat more rather than by learning to reduce the amount of food selected.",2022.0,Journal of Agricultural and Resource Economics,Journal of agricultural and resource economics,"Danyi Qi, B. Roe, J. Apolzan, Corby K. Martin",10.22004/ag.econ.320676,https://www.semanticscholar.org/paper/f69c7577bcfdb60215fcd4d2c71f8b6b2592d7e6,29.0,0.0,0.0,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2022-06-30,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests partial intervention,sustained over time,neutral
Social interaction and geographic diffusion of iron‐biofortified beans in Rwanda,"This study analyzes smallholder farmers’ decisions to adopt beans with higher levels of dietary iron developed through a conventional breeding technique called biofortification. We approach this study by applying spatial econometric techniques to estimate neighborhood influence and to determine the factors driv-ing the adoption of iron-biofortified beans (IBB). We employ a cross-sectional, nationally representative survey of bean producing households from 2015 bean growing season B in Rwanda, and present results for growers of both bush and climbing varieties of beans. The results show geographic diffusion of iron bean planting material occurs among neighboring farmers that exhibit interdependent decision-making patterns, as well as similar characteristics relative to the group. Some policy implications can be drawn from the results. First, a differentiated geographical targeting strategy for bush and climbing bean varieties as a function of farmer and farm characteristics should increase iron bean adoption rates. Second, strengthening partnerships with delivery agents and extensionists should stimulate the adoption of IBB varieties. And finally, technology-promotion programs that consider progressive farmers and strengthen social interactions and group activities among peer networks should increase the spread of information and diffusion of IBB.",2022.0,Agricultural Economics,Agricultural Economics,"J. Funes, Laixiang Sun, F. Sedano, G. Baiocchi, T. Benson",10.1111/agec.12722,https://www.semanticscholar.org/paper/5b6ff47dfc71855922385df8b9dd0f419facf66a,63.0,4.0,1.0,,"[{'category': 'Geography', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/agec.12722,['Review'],2022-06-14,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through networks,suggests effective intervention,sustained over time,optimistic
Stimulating Innovations for Sustainable Agricultural Practices among Smallholder Farmers: Persistence of Intervention Matters,"Abstract As part of the dissemination of sustainable intensification (SI) of agricultural practices in northern Ghana, farmers were conditionally induced with inputs to adopt the SI practices. We study the effects of the conditional inducement on maize yield and net income of farmers under a quasi-randomised phase-out design. We examine the effects of the inducement by comparing continuous induced farmers with past induced and non-induced farmers. Our results indicate that the conditional inducement led to an increase in the maize yield and the net income of continuously induced farmers, on average. Estimates also suggest that the continuously induced farmers would have had their maize yields and net incomes decreased by about 64 per cent and 54 per cent, respectively if the inducement had been discontinued. Distributional analysis reveals that the inducement effects are heterogeneous and that past inducement impacted more on the maize yield and the net income of farmers at the lower quantiles. We conclude that appropriate conditional inducement can stimulate farmers’ adoption. Besides, the duration of intervention matters and must not be overlooked in interventions that necessitate gaining experience and learning.",2022.0,Journal of Development Studies,The Journal of Development Studies,"Shaibu Mellon Bedi, Lukas Kornher, Joachim von Braun, B. Kotu",10.1080/00220388.2022.2043283,https://www.semanticscholar.org/paper/7bbec0de9b1e0292cb3d752108ccb34137388954,59.0,6.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://figshare.com/articles/journal_contribution/Stimulating_Innovations_for_Sustainable_Agricultural_Practices_among_Smallholder_Farmers_Persistence_of_Intervention_Matters/19609331/1/files/34830593.pdf,,2022-04-17,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests effective intervention,sustained over time,neutral
"Social Network, Production Purpose, and Biological Pesticide Application Behavior of Rice Farmers","The extension and diffusion of the green production mode in rural areas forms the micro basis for improve the ecological environment. While government has issued a series of policies to promote the green production mode, the effect depends on farmers’ behavior. Therefore, it is necessary to explore the causes and mechanisms underlying the influence of farmers’ behavior differences with regard to biopesticide application. Based on 1202 sampled rice farmers in China, this paper analyzes the impact of social network on their biological pesticide application behavior. Furthermore, the internal transmission mechanism of social network on biological pesticide application behavior of “ration-making” farmers (whose main purpose is to meet the demand for rations) and “profit-making” famers (whose main goal is to maximize their profit) is studied according to different production purposes. The results show that: 1) Social network has a significant positive role in promoting rice farmers’ biological pesticide application behavior. 2) Social network encourages rice farmers to apply biological pesticides by influencing both their behavioral attitude and behavioral efficacy toward green production. 3) The intermediary effect of behavioral efficacy exceeds that of behavioral attitude. 4) Compared with “profit-making” farmers, the biological pesticides application of “ration-making” farmers is stronger affected by their social network. Operation mode, operation scale, and educational level positively affect the pesticide application behavior of “profit-making” farmers, while age imposes a significantly negative influence. Biopesticide application of “ration-making” farmers is negatively affected by age and education level and positively affected by the mode of operation. 5) The behavioral attitude and behavioral efficacy of green production exert significant mediating effects on both types of farmers. Moreover, both intermediary variables exert stronger impacts on “profit-making” farmers. To a certain extent, this study expands the theoretical explanation of the “rational man” in neoclassical economics, and provides reliable evidence, both theoretical and empirical, for effective measures to stimulate green production in rice farmers.",2022.0,Frontiers in Environmental Science,,"Zhaoliang Li, Mande Zhu, Q. Zuo",10.3389/fenvs.2022.834760,https://www.semanticscholar.org/paper/9a362fbcc45a6c89e42157466aa74c96f557a3f8,28.0,13.0,0.0,,"[{'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",True,https://www.frontiersin.org/articles/10.3389/fenvs.2022.834760/pdf,,2022-04-12,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through networks,suggests effective intervention,sustained over time,optimistic
Mobile money networks with tax-incentives,"Mobile money (MM) is the most promising tool to enable more individuals living in rural and marginalized communities into the banking sector. Although private companies in some developing countries have transitioned most of its users over to MM, it remains unclear if government-initiated programs would be as successful. By accessing a comprehensive data set of the first MM project to be initiated by a government, we tracked the behavior of users within the MM network. Temporal analysis of network representations of MM transactions shows how agents behave over time and how they react when given tax-incentives for the use of non-cash transactions. Tax-incentives had immediate positive effects on the economic activity of continuing users (number of transactions, mean and total value of transactions) and a marginal effect on their interconnectedness (number of partners and clustering). However, the tax-incentive distorted economic behavior and had a modest effect on the adoption and diffusion of MM over time at a high price tag. Implementation of these new technologies requires consideration of the peculiarity of the different actors and the expansion of the network over time, as well as the specific characteristics of each economy. These findings offer important lessons that would be valuable to other governments and policymakers considering MM.",2022.0,Humanities and Social Sciences Communications,Humanities and Social Sciences Communications,"I. Rivadeneyra, D. Suthers, R. Juarez",10.1057/s41599-022-01075-x,https://www.semanticscholar.org/paper/030c4d8092d3f79abf750db1f74ac251e1038022,36.0,3.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Business', 'source': 's2-fos-model'}]",True,https://www.nature.com/articles/s41599-022-01075-x.pdf,,2022-02-25,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests effective intervention,sustained over time,neutral
Modeling and Simulation of Dissemination of Cultivated Land Protection Policies in China,"Cultivated land protection is the top priority of the national economy in China and the livelihood of people. Cultivated land protection policies (CLPP) play an important role in the protection of cultivated land. However, the process of dissemination of CLPP on social networks of farmers has problems, such as distortion of policy content, single dissemination channels, low level of farmers’ knowledge, and low dissemination efficiency. For revealing the characteristics of the dissemination of CLPP in the farmers’ social networks (FSN), this study combines the Suspected–Exposed–Infected–Recovered–Suspected (SEIRS) epidemic model to construct a model of CLPP dissemination suitable for FSN. In addition, a numerical simulation of the dissemination process of CLPP is conducted on the FSN, and the influence of the structural characteristics of the FSN and different model parameters on the dissemination of CLPP is analyzed. Results show that (1) the dissemination rate between farmers in FSN has a significant impact on the scale and speed of CLPP. A greater initial dissemination rate corresponds to faster speed and larger scale of CLPP dissemination. (2) A greater node degree in FSN means stronger dissemination ability for CLPP. Therefore, identifying structural holes (opinion leaders) in FSN can effectively promote the dissemination of CLPP. (3) The SEIRS model can dynamically describe the evolution law of CLPP dissemination process over time through the four states of farmer nodes of suspected, exposed, infected, and recovered. Numerical simulation results show that the immune degradation rate is proportional to CLPP. However, the direct immunization rate is inversely proportional. The increase in immune degradation rate can reduce the number of recovered farmers and improve the efficiency of CLPP dissemination. On the basis of the abovementioned conclusions, this study draws policy recommendations to increase the scale and speed of CLPP dissemination in China.",2021.0,Land,Land,"Xinhai Lu, Yanwei Zhang, Handong Tang",10.3390/LAND10020160,https://www.semanticscholar.org/paper/ba8bb283e4013a8be181f390d1aaffcaa7e9bdd7,52.0,10.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://www.mdpi.com/2073-445X/10/2/160/pdf?version=1612748563,,2021-02-05,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through networks,suggests effective intervention,sustained over time,optimistic
Traditional knowledge affects soil management ability of smallholder farmers in marginal areas,"Soil fertility is key to sustainable intensification of agriculture and food security in sub-Saharan Africa. However, when soil nutrients are not adequately managed, smallholder farming practices slowly erode soils to almost inert systems. This case study contributes to the understanding of such failures in marginal areas. We integrate agronomic and social sciences approaches to explore links between smallholder households’ farming knowledge and soil fertility in an ethnopedological perspective. We interview 280 smallholder households in two areas of the Ethiopian highlands, while collecting measures of 11 soil parameters at their main field. By analyzing soil compositions at tested households, we identify a novel measure of soil management ability, which provides an effective empirical characterization of the soil managing capacity of a household. Regression analysis is used to evaluate the effects of household knowledge on the soil management ability derived from laboratory analysis. Results highlight the complexity of knowledge transmission in low-input remote areas. We are able to disentangle a home learning and a social learning dimension of the household knowledge and appraise how they can result in virtuous and vicious cycles of soil management ability. We show that higher soil management ability is associated with farmers relying to a great extent on farming knowledge acquired within the household, as a result of practices slowly elaborated over the years. Conversely, lower soil management ability is linked to households valuing substantially farming knowledge acquired through neighbors and social gatherings. The present study is the first to formulate the concept of soil management ability and to investigate the effects of the presence and the types of farming knowledge on the soil management ability of smallholder farmers in remote areas. We show that farming knowledge has a primary role on soil fertility and we advise its consideration in agricultural development policies.",2021.0,Agronomy for Sustainable Development,Agronomy for Sustainable Development,"M. Occelli, A. Mantino, G. Ragaglini, Matteo Dell’Acqua, C. Fadda, M. E. Pè, A. Nuvolari",10.1007/s13593-020-00664-x,https://www.semanticscholar.org/paper/8615520c771404d69962f2d51b3c0ce2c4833814,58.0,14.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://link.springer.com/content/pdf/10.1007/s13593-020-00664-x.pdf,,2021-01-11,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk not effectively mitigated,suggests effective intervention,sustained over time,pessimistic
The AgTech Startup Perspective to Farmers Ex Ante Acceptance Process of Autonomous Field Robots,"Autonomous vehicles not only provide a new impetus in the development of car models in the automotive industry—even in agriculture there has recently been talk of autonomous field robots (AFR). Great expectations are placed on these digital assistants from a wide variety of perspectives. However, it is still unclear whether they will make the transition from market niches to broad-based distribution. Apart from various factors, this depends on user acceptance of this new technology expected by the innovators, since this is likely to be essential for the further development of AFR. For this purpose, the ex ante user acceptance of farmers from the perspective of various AgTech startups with AFR involvement in Europe was investigated in this exploratory and qualitative study. The Technology Acceptance Model (TAM) served as the basis for the developed interview guideline. In summary, the results confirm that a variety of factors potentially influence farmer acceptance and AFR diffusion from the perspective of AgTech startups, with perceived usefulness being considered the main motivation for using AFR. The interviewed experts believe that AFR will initially be used in crops that have relatively high costs for crop protection treatments before becoming economically attractive for other crops. The basic prerequisite for a successful market launch is an adjustment of the legal framework, which sets standards in relation to AFR and thus, provides security in the production process. The results could support political decision-makers in dealing with this new technology and AFR manufacturers in the promotion of AFR.",2020.0,,Sustainability,"Friedrich Rübcke von Veltheim, H. Heise",10.3390/su122410570,https://www.semanticscholar.org/paper/7b8be294cd8a7016e6c143a5d7f9d5d10f52fa62,52.0,13.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Engineering', 'source': 's2-fos-model'}]",True,https://www.mdpi.com/2071-1050/12/24/10570/pdf,,2020-12-17,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk mitigated through institutions,suggests partial intervention,sustained over time,optimistic
Spatially Mediated Peer Effects in the Adoption of Conservation Agriculture Practices,"Abstract This study uses location-specific data to investigate the role of spatially mediated peer effects in farmers’ adoption of conservation agriculture practices. The literature has shown that farmers trust other farmers and one way to increase conservation practice adoption is through identifying feasible conservation practices in neighboring fields. Estimating this effect can help improve our understanding of what influences the adoption and could play a role in improving federal and local conservation program design. The study finds that although spatial peer effects are important in the adoption of conservation tillage and diverse crop rotation, the scale of peer effects are not substantial.",2020.0,Journal of Agricultural and Applied Economics,Journal of Agricultural and Applied Economics,"D. Kolady, Weiwei Zhang, Tong Wang, J. Ulrich‐Schad",10.1017/aae.2020.24,https://www.semanticscholar.org/paper/df524eb0c74b3ac26a526a4f47fcdefb6b826a3b,70.0,23.0,3.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/55A5004D6094FA380E343159B36AD820/S1074070820000243a.pdf/div-class-title-spatially-mediated-peer-effects-in-the-adoption-of-conservation-agriculture-practices-div.pdf,,2020-12-10,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests effective intervention,unclear durability,neutral
Changing agricultural stubble burning practices in the Indo-Gangetic plains: is the Happy Seeder a profitable alternative?,"ABSTRACT Every year after the rice harvest, some 2.5 million farmers in northwest India burn the remaining stubble to prepare their fields for the subsequent wheat crop. Crop residue burning causes massive air pollution affecting millions of people across the Indo-Gangetic Plains. We examine different tillage practices to provide urgently needed empirical evidence on how profitable it is for farmers to adopt no-burn technologies, especially the ‘Happy Seeder’ (HS) which is capable of sowing wheat directly into large amounts of crop residue. Apart from analysing the cost of rice residue management and wheat sowing under conventional-tillage and zero-tillage, we identify factors influencing the adoption of the HS and quantify its impact on wheat yields and –production costs. While we do not find any evidence of a yield penalty, our analysis reveals significant savings in wheat production costs, amounting to 136 USD ha–1. In addition, our analysis shows that the HS saves water and facilitates timely wheat sowing. We conclude that the private benefits of HS use combined with its societal benefits of reducing air pollution and enhancing agricultural sustainability justify particular policy support for its large-scale diffusion, to be supplemented by a stricter enforcement of the ban on residue burning.",2020.0,International Journal of Agricultural Sustainability,International Journal of Agricultural Sustainability,"A. Keil, P. P. Krishnapriya, A. Mitra, M. L. Jat, H. S. Sidhu, V. Krishna, P. Shyamsundar",10.1080/14735903.2020.1834277,https://www.semanticscholar.org/paper/470dfacfdc4d79683ab8207dcbbd8d43e1c841b4,76.0,41.0,3.0,['Geography'],"[{'category': 'Geography', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://www.tandfonline.com/doi/pdf/10.1080/14735903.2020.1834277?needAccess=true,,2020-10-28,True,True,matches theoretical benchmark,ambiguous,strong evidence,risk not effectively mitigated,suggests effective intervention,sustained over time,optimistic
"The role of the social network structure on the spread of intensive agriculture: an example from Navarre, Spain","Social networks influence decision-making in agricultural landscapes by affecting how farmers access knowledge and resources. However, researchers ignore the disparate structures built to access different kinds of knowledge and resources and the social mechanisms that take place on such farmers’ advice networks. We explored the role of social networks in decision-making among farmers in Navarre (Spain) to understand how and why some practices spread among farming communities. Social network analysis allows us to understand how farmers in this region share both knowledge and resources, and the potential implications of this sharing for the landscape. We find that large-scale farmers undertaking intensive land management are at the core of the network in this region, controlling the flow of knowledge and resources related to farm management, policy, technology, and finance. The central position of these farmers in the social network, and their reputation, is key to the spread of intensive farming practices in the region, which ultimately may lead to homogenization of local agricultural landscapes. Understanding farmer network structures in a context of agricultural intensification can help tease out the social mechanisms, such as farmers joining each other in cooperatives, behind the spread of agricultural practices.",2020.0,Regional Environmental Change,Regional Environmental Change,"Amaia Albizua, E. Bennett, U. Pascual, G. Larocque",10.1007/s10113-020-01676-9,https://www.semanticscholar.org/paper/b5159b1336c6247a523f37a59f10bccf588fd3e8,97.0,25.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,http://addi.ehu.es/bitstream/10810/59897/1/JA-1715.pdf,,2020-08-07,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests partial intervention,sustained over time,neutral
"Caste, Social Networks and Variety Adoption","Social networks influence technology diffusion but targeting formal leaders (institutional central nodes) may lead to distributional consequences. This paper analyzes the role of informal social networks in technology diffusion in a socially hierarchical caste-based society. Often, information flow and technology diffusion are constrained by social and economic boundaries where informal nodes such as caste play a very decisive role in everyday life. Proper targeting and dissemination of technology to the marginalized sections of society are very important for their development. We observed that only one-fourth of farmers cultivate newer varieties which include hybrids and recently released high yielding varieties. The results showed that individuals belonging to marginal groups are influential and act as informal leaders when they are the dominant caste in the village. Progressive farmers are found to fail in disseminating new varieties, and targeting influential informal leaders who belong to the dominant caste of the village appears to be a better strategy. Among non-dominant caste members, influential leaders belonging to Other Backward Classes (OBCs) or Scheduled Tribes (STs) are more desirable targets than other caste groups. The more concentrated a network is in terms of its caste composition, the faster will be the spread of any technology.",2020.0,Journal of South Asian Development,Journal of South Asian Development,"I. Gupta, P. C. Veettil, S. Speelman",10.1177/0973174120954632,https://www.semanticscholar.org/paper/09600d41fd36ac0859c25132136fc0c3bc103a8c,55.0,7.0,0.0,['Sociology'],"[{'category': 'Sociology', 'source': 'external'}, {'category': 'Sociology', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://journals.sagepub.com/doi/pdf/10.1177/0973174120954632,['JournalArticle'],2020-08-01,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests partial intervention,sustained over time,neutral
Socio-Economic Dimensions of Adoption of Conservation Practices: What Is Needed to Be Done?,"Promoting sustainable agricultural production requires farmers to adopt new technologies such as organic farming to increase the agricultural productivity, while conserving the environment. Adoption and diffusion of new technologies need a long process, as experienced in the past. There are social and economic factors, identified in the literature, and those could cause delays in farmers’ use of new technologies. Hence, technology adoption and diffusion are important policy issues in agriculture. For that reason, this paper provides a literature review including factors influencing the adoption and diffusion of technology in agriculture and aims to contribute to the future studies and policies, especially focusing on the social capital or the social aspects, which are proven not to be analyzed by the previous studies comprehensively. The results show that interaction with neighbors and relatives, and membership in a group or organization, which represent the social aspects, has a positive influence on adoption and diffusion of new technologies. Hence, policy-makers should incorporate the social aspects when designing the policies, such as cost sharing programmes, to promote adoption and diffusion of new technologies.",2020.0,Organic Agriculture,Organic Agriculture,"N. Tandogan, H. Gedikoglu",10.5772/intechopen.93198,https://www.semanticscholar.org/paper/05fcb53c8ddf725e25175db78e607a53769e84a0,81.0,1.0,0.0,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://www.intechopen.com/citation-pdf-url/72832,['Review'],2020-07-16,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through networks,suggests effective intervention,sustained over time,neutral
Revitalizing cultivation and strengthening the seed systems of fonio and Bambara groundnut in Mali through a community biodiversity management approach,"Abstract Fonio (Digitaria exilis (Kippist) Stapf) and Bambara groundnut (Vigna subterranea (L.) Verdc.) are native crops grown at a small scale in Mali that have potential to support agricultural productivity under climate change. A community biodiversity management approach was explored in this study as a means to reinforce the cultivation of these crops by increasing farmers' access to intraspecific diversity and developing capacities of community institutions for their management. The research involved six communities in Ségou and Sikasso regions. Multiple varieties of fonio (10–12) and Bambara groundnut (8–12) were established in diversity fields in each site over 2 years where farmers engaged in experiential learning over the crop cycle. Significant adoption of fonio and Bambara groundnut was detected in several study sites. The precise drivers of adoption cannot be definitively determined but likely include increased seed access and awareness gained through the diversity field fora, seed fairs and community seed banks. No significant yield advantage was detected for any of the varieties in the diversity fields, which showed variable performance by site and year. The number of varieties registered and managed by community seed banks in each site increased from 1–5 varieties of each crop to 11–12 varieties following the interventions. The number of Bambara groundnut varieties cultivated in farmers' fields also increased, while there was evidence of a slight decline in fonio diversity in some communities. The results of this study can inform efforts to strengthen seed systems and cultivation of neglected and underutilized species in Africa.",2020.0,Plant genetic resources,Plant Genetic Resources: Characterization and Utilization,"A. Sidibé, G. Meldrum, Harouna Coulibaly, S. Padulosi, I. Traore, Gaoussou Diawara, A. Sangaré, C. Mbosso",10.1017/S1479262120000076,https://www.semanticscholar.org/paper/bb0f4ed0eae344afc72f5e9d86445d39088c88d8,112.0,17.0,1.0,['Biology'],"[{'category': 'Biology', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/3F7A61015602FA58C41420A69FFC4A59/S1479262120000076a.pdf/div-class-title-revitalizing-cultivation-and-strengthening-the-seed-systems-of-fonio-and-bambara-groundnut-in-mali-through-a-community-biodiversity-management-approach-div.pdf,,2020-03-19,True,True,matches theoretical benchmark,ambiguous,mixed evidence,risk mitigated through institutions,suggests effective intervention,sustained over time,optimistic
