title,abstract,year,venue,journal,authors,doi,url,referenceCount,citationCount,influentialCitationCount,fieldsOfStudy,s2FieldsOfStudy,isOpenAccess,openAccessPdf,publicationTypes,publicationDate
"Soil Heterogeneity, Social Learning, and the Formation of Close-knit Communities",,2025.0,Journal of Political Economy,Journal of Political Economy,Itzchak Tzachi Raz,10.1086/735506,https://www.semanticscholar.org/paper/0766d8d08e74b7216e4019e5e217d9432e911806,45.0,2.0,0.0,,"[{'category': 'Political Science', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2025-02-24
Effect of artificial intelligence on economic growth in European countries: a symmetric and asymmetric cointegration based on linear and non-linear ARDL approach,"The impact of accelerated advancements in artificial intelligence (AI) on economic development remains a topic of debate in the current era. It is thought by some that AI has the potential to stimulate economic development; however, the precise function of AI remains uncertain. In order to investigate the influence of AI on economic growth in 30 European countries between 2000 and 2021, this study employed both the symmetric (PMG-ARDL) and asymmetric (PMG-NARDL) models. The ARDL model's results suggest that AI has a stimulating effect on economic development. A 0.217% increase in long-term economic growth is associated with an increase in AI. In the NARDL model, the growth of the economy was observed to be increased by 0.026% as a result of positive shocks to the positive AI variable. Conversely, negative shocks were found to have a negative impact, with a decrease of 0.029% in economic growth. It is posited that AI may stimulate economic development by increasing efficiency, promoting economies of scale, enhancing the quality of products and services, and improving working conditions. Furthermore, the study identifies the displacement of employment, the rising costs of training and adaptation, and the expansion of economic and social inequality. To address these challenges, policymakers must facilitate the creation of alternative employment opportunities, promote the development of new AI-driven industries, and implement rehabilitation programs for workers at risk of automation. Balancing technological advancement with job preservation and high-quality employment necessitates a collaborative approach between public and private sectors.",2024.0,Journal of Economic Structures,Journal of Economic Structures,"Maha Kalai, Hamdi Becha, Kamel HELALI",10.1186/s40008-024-00345-y,https://www.semanticscholar.org/paper/85397da9710ac98d8e0e9f39e858644bfeb51208,145.0,0.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",True,https://doi.org/10.1186/s40008-024-00345-y,['JournalArticle'],2024-12-31
Contaminated water spillovers or peer effects? Determinants of disease outbreaks in shrimp farming in Vietnam,"Disease outbreaks are one of the major issues in the aquaculture sector and can lead to significant economic losses. Although the source of the disease is difficult to trace, understanding how it occurs is important to mitigate the problem. A crucial factor that has not received sufficient attention is the presence of spillovers among fish farmers connected by waterways. This study examines the presence of spillovers among shrimp farmers in Southern Vietnam based on primary data. In particular, it quantifies the effects of contaminated water spillovers from one farm to another and the peer effects of farming practices among neighbors. We solve the reflection problem by employing a method developed in social network analyses. The findings indicate that a farmer's practices are affected by their neighbors’ farming practices. Further, the disease outbreak in a farmer's pond is affected by those in their neighbors’ ponds, even after controlling for contextual peer effects and correlated effects. The negative effects of neighbors’ ponds on the probability of disease outbreaks in a farmer's pond may offset the positive effects of the farmer's good farming practices, suggesting the importance of considering neighboring farmers as a group when addressing the issue of disease control.",2024.0,Agricultural Economics,Agricultural Economics,"Aya Suzuki, Susan Olivia, Vu Hoang Nam, Guenwoo Lee",10.1111/agec.12872,https://www.semanticscholar.org/paper/084c42e57b41a75585906750f3d380cd4c7ac084,61.0,1.0,0.0,,"[{'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.1111/agec.12872,['JournalArticle'],2024-12-25
Learning mechanisms and firms’ performance in the global south: reflections from Ludhiana’s manufacturing firms,,2024.0,International Journal of Productivity and Performance Management,International Journal of Productivity and Performance Management,"Manpreet Kaur, Swati Mehta",10.1108/ijppm-11-2023-0631,https://www.semanticscholar.org/paper/950d810e38717bcfb03e980968ea16fad746eece,81.0,1.0,0.0,,"[{'category': 'Business', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Engineering', 'source': 's2-fos-model'}]",False,,"['JournalArticle', 'Review']",2024-12-06
Online Communities of Practises as Agricultural Information Platforms: A Case Study of Indonesian Shrimp Farmers during the COVID-19 Pandemic,,2024.0,Bulletin of Indonesian economic studies,Bulletin of Indonesian Economic Studies,"Guenwoo Lee, Ayu Pratiwi, Farikhah, Aya Suzuki, Takashi Kurosaki",10.1080/00074918.2024.2437825,https://www.semanticscholar.org/paper/189a86f5bfed43bb8b9a775325c4d75fbb02d79f,25.0,1.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.1080/00074918.2024.2437825,['JournalArticle'],2024-12-05
The Great Curse,,2024.0,,,Albert Berry,10.1093/oso/9780197782675.001.0001,https://www.semanticscholar.org/paper/9adf4bd33d41f602d13238949220dbfe8ab99627,239.0,0.0,0.0,,"[{'category': 'History', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]",False,,"['Book', 'Review']",2024-12-05
Carbon farming diffusion in Australia,,2024.0,Global Environmental Change,Global Environmental Change,"David Evans, Bernardo Cantone, Cara Stitzlein, Andrew Reeson",10.1016/j.gloenvcha.2024.102921,https://www.semanticscholar.org/paper/f208c377466005d8935c2470cedb259c871e67fe,36.0,1.0,0.0,,"[{'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://doi.org/10.1016/j.gloenvcha.2024.102921,['JournalArticle'],2024-12-01
How does social capital influence farmers' adoption of soil testing and formulated fertilisation technology? Evidence from Chinese maize farmers,,2024.0,Sustainable Futures,Sustainable Futures,"Chengtao Wen, Ji Ma",10.1016/j.sftr.2024.100394,https://www.semanticscholar.org/paper/909e0d06f97c6d324c7f97964b44254fc0d57db2,75.0,0.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2024-12-01
Do Titans Deliver the ESG Promise? Societal Recognition and Responsible Corporate Decisions,"Distinguished societal recognition can influence corporate decision‐makers to act responsibly. We exploit this unique sociological attribute of UK firm board members and examine the impact of honorary titles on the firm's environmental, social and governance (ESG) performances. Using the peerage and honorific titles of board members of public UK firms from 2002 to 2020, we demonstrate that firms wherein board members have a title of honour are associated with higher ESG performance. We also document a positive contagion effect of titleholders on other board members, which contributes to firms’ ESG performance. Our findings align with theories of resource dependence, upper echelons and peer effects postulations and highlight the importance of societal recognition in shaping corporate decisions towards sustainability.",2024.0,British Journal of Management,British Journal of Management,"H. Farag, Santosh Koirala, Di Luo, Sandeep Rao",10.1111/1467-8551.12876,https://www.semanticscholar.org/paper/0d4164f32a857b981e747ea2b6b2f247b1c23139,135.0,0.0,0.0,,"[{'category': 'Business', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",True,https://doi.org/10.1111/1467-8551.12876,['JournalArticle'],2024-11-07
Estimating Spillovers from Sampled Connections,,2024.0,,,Kieran Marray,,https://www.semanticscholar.org/paper/dc405114f2c15bfc9e3efc3a9659b2bec6cf4f49,56.0,0.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,,2024-10-22
Does the European Union Start-Up Aid Help Young Farmers to Innovate and to Join Networks?,"The endurance and vitality of European agriculture are threatened by the aging of farmers, together with the lack of generational change. The small share of young farmers also impacts on the innovative capacity and competitiveness of the sector. The Common Agricultural Policy of the European Union started addressing the issue long ago by providing financial aid to help young farmers to start up. Over time, the aid increased and packages of measures were set to reinforce the aid and to promote investments, innovations, and networks at the farm level. While the literature focuses on analyzing the effectiveness of the start-up aid in fostering new entries, this paper assumes an original perspective as it seeks to assess whether this aid has actually promoted innovations and networks in the beneficiary farms. The analysis relies on sample data collected in 2021 in Italy and Poland via interviews of 500 farmers under 40 who had entered the sector both with and without the aid. A probit model estimates whether the beneficiaries have a higher probability to innovate and network. Then, the contribution of the aid to the intensity of the adoption of innovations and networks is estimated via an Average Treatment Effect on the Treated model (ATT). Results suggest that the start-up aid increased the adoption of innovations and networks. The ATT indicates that this positive effect holds even after correcting for self-selection bias. By adopting an original perspective, our analysis suggests that the start-up aid for young farmers goes beyond rejuvenating agriculture by fostering innovation at the farm level and by promoting networking, thus enhancing agricultural change. However, farmer behaviors in the two countries are different, suggesting quite complex patterns for the impact of this measure.",2024.0,Agriculture,Agriculture,"Anna Carbone, F. Carillo, Pavel Ciaian, Roberta Sardone, Federico Antonioli, Juan Tur Cardona",10.3390/agriculture14101772,https://www.semanticscholar.org/paper/180bbfb752cc0ccb7a5a47b588c7e4fd1ef0584f,44.0,2.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://doi.org/10.3390/agriculture14101772,['JournalArticle'],2024-10-08
Switching costs in transient technology use: Panel evidence from Kenyan maize production,,2024.0,Canadian Journal of Agricultural Economics-Revue Canadienne D'Agroeconomie,Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,"Maolong Chen, Chaoran Hu, Robert J. Myers",10.1111/cjag.12376,https://www.semanticscholar.org/paper/8f27ad3acb749c6bc594ff2825452590bf94a243,34.0,0.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cjag.12376,['JournalArticle'],2024-10-06
Pathways to adoption and mitigation: A dynamic perspective on good agricultural practices in Rural Malawi.,,2024.0,Journal of Environmental Management,Journal of environmental management,"Nancy McCarthy, Giuseppe Maggio, Romina Cavatassir",10.1016/j.jenvman.2024.122636,https://www.semanticscholar.org/paper/1ae688aad3418db69775a97da7846931f5b408dd,56.0,0.0,0.0,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://doi.org/10.1016/j.jenvman.2024.122636,['JournalArticle'],2024-10-03
The Curse of Plenty: The Green Revolution and the Rise in Chronic Disease,,2024.0,American Economic Journal: Applied Economics,American Economic Journal: Applied Economics,"Sheetal Sekhri, G. Shastry",10.1257/app.20220621,https://www.semanticscholar.org/paper/2d812eca4cc3d0b3f13ce06471051be599be39c5,75.0,1.0,0.0,,"[{'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2024-10-01
Monitoring in Small Firms: Experimental Evidence from Kenyan Public Transit,,2024.0,The American Economic Review,American Economic Review,"Erin M. Kelley, Gregory Lane, David Schönholzer",10.1257/aer.20210987,https://www.semanticscholar.org/paper/5ca4d002b68fe22608e5f53d0a0b57cb75f3e874,59.0,7.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2024-10-01
Electricity and female employment: Evidence from Tajikistan’s winter energy crisis,,2024.0,Journal of Development Economics,Journal of Development Economics,Adrian Poignant,10.1016/j.jdeveco.2024.103383,https://www.semanticscholar.org/paper/87ea3200c4b1e6cb8c8c6c97acff11d550733dc6,51.0,0.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",True,https://doi.org/10.1016/j.jdeveco.2024.103383,['JournalArticle'],2024-10-01
"Effects of AI Feedback on Learning, the Skill Gap, and Intellectual Diversity",,2024.0,arXiv.org,ArXiv,"Christoph Riedl, Eric Bogert",10.48550/arXiv.2409.18660,https://www.semanticscholar.org/paper/d80e28ceb6ffb1b3499c7b7b8f43f21e635b60c0,95.0,0.0,0.0,"['Computer Science', 'Economics']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Economics', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2024-09-27
Resilience in technical efficiency and enabling factors: insights from panel farm enterprise surveys in Kazakhstan and Uzbekistan,,2024.0,Applied Economics,Applied Economics,"Hiroyuki Takeshima, N. Djanibekov, Nilufar Abduvalieva, Bakhrom Mirkasimov, Kamiljon Akramov",10.1080/00036846.2024.2405203,https://www.semanticscholar.org/paper/6bc0e6a91746916befb97a3a1c9de914515c9880,55.0,1.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}]",False,,"['JournalArticle', 'Review']",2024-09-26
Evaluating the gendered credit constraints and uptake of an insurance-linked credit product,,2024.0,Journal of Development Studies,The Journal of Development Studies,"A. Timu, Apurba Shee, Patrick S. Ward, Liangzhi You",10.2499/p15738coll2.137037,https://www.semanticscholar.org/paper/747f0df2d5bdafa07e534e4c49fe1559c4a3dee3,50.0,1.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",False,,"['JournalArticle', 'CaseReport']",2024-09-23
"Friends, Key Players and the Adoption and Use of Experience Goods",,2024.0,,,"Rhys Murrian, P. Raschky, Klaus Ackermann",,https://www.semanticscholar.org/paper/c1cd2085b89d4818fdbf7ebf254146e681869745,61.0,0.0,0.0,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",False,,,2024-09-22
Mining Causality: AI-Assisted Search for Instrumental Variables,,2024.0,,,Sukjin Han,,https://www.semanticscholar.org/paper/a410d0a0d3d69c68016583742f7060be2ac3c205,51.0,4.0,0.0,"['Economics', 'Mathematics']","[{'category': 'Economics', 'source': 'external'}, {'category': 'Mathematics', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",False,,,2024-09-21
"Language Barriers, Technology Adoption and Productivity: Evidence from Agriculture in India",,2024.0,Review of Economics and Statistics,Review of Economics and Statistics,"Apoorv Gupta, Jacopo Ponticelli, A. Tesei",10.1162/rest_a_01501,https://www.semanticscholar.org/paper/0e562b46947164ca2c61926c0bab399d784373bc,51.0,6.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2024-09-16
Cross-Refine: Improving Natural Language Explanation Generation by Learning in Tandem,,2024.0,International Conference on Computational Linguistics,ArXiv,"Qianli Wang, Tatiana Anikina, Nils Feldhus, Simon Ostermann, Sebastian Moller, Vera Schmitt",10.48550/arXiv.2409.07123,https://www.semanticscholar.org/paper/d9effaca2a6e74a505b74275df1de378872eea9f,70.0,0.0,0.0,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",False,,"['JournalArticle', 'Conference']",2024-09-11
The Accumulation and Utilization of Human Capital over the Development Spectrum,,2024.0,,,"Federico Rossi, Michael Weber",10.1596/1813-9450-10891,https://www.semanticscholar.org/paper/bc800498b148730396c269672e3293be56c99afc,127.0,0.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}]",False,,['Book'],2024-09-05
Experimentation in Networks,,2024.0,Social Science Research Network,SSRN Electronic Journal,"Simon Board, Moritz Meyer-ter-Vehn",10.2139/ssrn.4271882,https://www.semanticscholar.org/paper/017d755b48298d63a35fbf76aa20a103c6a87324,28.0,3.0,0.0,,"[{'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2024-09-01
"Smart connected farms and networked farmers to improve crop production, sustainability and profitability",,2024.0,Frontiers in Agronomy,Frontiers in Agronomy,"A. K. Singh, Behzad J. Balabaygloo, Barituka Bekee, Samuel W. Blair, Suzanne Fey, Fateme Fotouhi, Ashish Gupta, Amit Jha, Jorge C. Martinez-Palomares, Kevin Menke, Aaron Prestholt, V. Tanwar, Xu Tao, Anusha Vangala, Matthew E. Carroll, Sajal K. Das, Guilherme DePaula, Peter Kyveryga, Soumik Sarkar, Michelle Segovia, Simone Silvestri, Corinne Valdivia",10.3389/fagro.2024.1410829,https://www.semanticscholar.org/paper/a53963120873a3cbd5f031081f9cb50942dd1cab,177.0,7.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]",False,,"['JournalArticle', 'Review']",2024-08-08
The Seeds of Misallocation: Fertilizer Use and Maize Varietal Misidentification in Ethiopia,,2024.0,Social Science Research Network,SSRN Electronic Journal,"Nils Bohr, Tim Deisemann, Douglas Gollin, Frederic Kosmowski, Travis J. Lybbert",10.2139/ssrn.4689857,https://www.semanticscholar.org/paper/de78d0acbf169a04617d6b29fb8c9b5e7c04ddc6,30.0,3.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Economics', 'source': 's2-fos-model'}]",True,https://ora.ox.ac.uk/objects/uuid:508d8fca-6745-49b4-9287-e627b3f7df68/files/rbr86b482q,['JournalArticle'],2024-08-01
Learning by Offending: How Do Criminals Learn about Criminal Law?,,2024.0,American Economic Journal: Economic Policy,American Economic Journal: Economic Policy,Arnaud Philippe,10.1257/pol.20210378,https://www.semanticscholar.org/paper/eedfa8e58e377ef2ed305a28617079550ea99450,44.0,3.0,0.0,,"[{'category': 'Law', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2024-08-01
Improved aquaculture management practices and its impact on small-scale rural aquaculture farmers in Bangladesh,,2024.0,Aquaculture,Aquaculture,"A.B.M. Mahfuzul Haque, Akhtaruzzaman Khan, Mokarrom Hossain, Emdad Hossain, Nahiduzzaman, Sayemul Islam",10.1016/j.aquaculture.2024.741459,https://www.semanticscholar.org/paper/f1e75ae3d723b9c3820c97031487e0269d675ffd,59.0,2.0,0.0,,"[{'category': 'Agricultural and Food Sciences', 'source': 's2-fos-model'}, {'category': 'Environmental Science', 'source': 's2-fos-model'}]",False,,['JournalArticle'],2024-08-01
